Ref,Val,Package,PosX,PosY,Rot,Side
"B1","BOARD_OUTLINE","Sienkiewicz",84.5000,16.0000,0.0000,top
"Cb1","1u/16V","C_0805_2012Metric",92.0000,27.5000,-90.0000,top
"Cb2","1u/16V","C_0805_2012Metric",77.0000,27.5000,-90.0000,top
"Cd1","100nF","C_1210_3225Metric",97.5000,23.0000,180.0000,top
"Cd2","100nF","C_1210_3225Metric",69.5000,20.0000,0.0000,top
"Cs1","2n7","C_0805_2012Metric",69.5000,13.0000,0.0000,top
"D1","RED","LED_1206_3216Metric",89.5000,1.0000,90.0000,top
"D2","RED","LED_1206_3216Metric",79.5000,1.0000,90.0000,top
"J2","USB4135-GF-A_REVA","GCT_USB4135-GF-A_REVA",84.5000,32.0000,180.0000,top
"R1","1k","R_0805_2012Metric",92.0000,1.0000,90.0000,top
"R2","1k","R_0805_2012Metric",77.0000,1.0000,90.0000,top
"Rd1","5k1","R_0805_2012Metric",92.0000,31.5000,-90.0000,top
"Rd2","5k1","R_0805_2012Metric",77.0000,31.5000,-90.0000,top
"Rm1","1M","R_0805_2012Metric",73.0000,13.0000,0.0000,top
"Rop1","100k","R_0805_2012Metric",77.0000,6.0000,180.0000,top
"Rs1","5k1","R_0805_2012Metric",73.0000,11.0000,0.0000,top
"TouP1","TouchPad","TouchPAD",84.5000,20.0000,90.0000,bottom
"U1","ATtiny204-SS","SOIC-14_3.9x8.7mm_P1.27mm",97.5000,16.0000,0.0000,top
"U2","AT42QT1012-T","SOT-23-6",69.5000,16.0000,0.0000,top
